Book_Name,Category,Rating,Price
It's Only the Himalayas,Travel,2,45.17
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,49.43
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2,36.94
Under the Tuscan Sun,Travel,3,37.33
A Summer In Europe,Travel,2,44.34
The Great Railway Bazaar,Travel,1,30.54
A Year in Provence (Provence #1),Travel,4,56.88
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,1,23.21
Neither Here nor There: Travels in Europe,Travel,3,38.95
"1,000 Places to See Before You Die",Travel,5,26.08
Sharp Objects,Mystery,4,47.82
"In a Dark, Dark Wood",Mystery,1,19.63
The Past Never Ends,Mystery,4,56.50
A Murder in Time,Mystery,1,16.64
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.10
The Last Mile (Amos Decker #2),Mystery,2,54.21
That Darkness (Gardiner and Renner #1),Mystery,1,13.92
Tastes Like Fear (DI Marnie Rome #3),Mystery,1,10.69
A Time of Torment (Charlie Parker #14),Mystery,5,48.35
A Study in Scarlet (Sherlock Holmes #1),Mystery,2,16.73
Poisonous (Max Revere Novels #3),Mystery,3,26.80
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,54.36
Most Wanted,Mystery,3,35.28
Hide Away (Eve Duncan #20),Mystery,1,11.84
Boar Island (Anna Pigeon #19),Mystery,3,59.48
The Widow,Mystery,2,27.26
Playing with Fire,Mystery,3,13.71
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,25.37
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,52.30
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,20.89
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,Four,24.80
In the Woods (Dublin Murder Squad #1),Mystery,Two,38.38
The Silkworm (Cormoran Strike #2),Mystery,Five,23.05
The Exiled,Mystery,Three,43.45
The Cuckoo's Calling (Cormoran Strike #1),Mystery,One,19.21
Extreme Prey (Lucas Davenport #26),Mystery,Three,25.40
